Name,O_ana_MV_C2459,O_ana_AM_M8258,O_ana_QM_J20672_ERR,O_ana_QVM_M1988x1x141_ERR,O_ana_QVM_M1987x1x105_ERR,O_ana_QM_JM1086_ERR,O_ana_MV_C29796_ERR,O_ana_ANWC_M3708_ERR,O_ana_MV_C2459_ERR,O_ana_ANWC_M1279_ERR,O_ana_AM_M8258_ERR,O_ana_SAM_M6043_ERR,O_ana_QVM_M1987x1x105,O_ana_ANWC_M3708,O_ana_QM_J20672,O_ana_QVM_M1988x1x141,O_ana_QM_JM1086,O_ana_MV_C29796,O_ana_ANWC_M1279,O_ana_SAM_M6043
Z PAT_R_do 3,9.358691406,7.139002228,34.26929016,28.89848328,13.88720245,19.7227829,7.940788269,41.76248474,9.313955688,-3.457178497,7.133743286,41.85411682,13.8203125,41.74512329,34.29886169,28.83307495,19.65392303,7.955237579,-3.436057281,41.99177246
X PAT_R_do 2,20.29812164,8.659220886,4.689275742,27.44624634,4.421639633,10.61684723,-8.290588379,24.54495239,20.3223465,-15.0465744,8.802264404,12.61103668,4.495254517,24.39234619,4.706851578,27.60895996,10.70176849,-8.339875031,-15.24040222,12.28330765
Y PAT_R_do 2,-56.75700073,-67.34860229,-0.801632786,-65.65680542,-55.88197021,7.848648071,-59.09896851,-57.3626709,-56.69013672,-16.68814392,-67.40766602,-0.453636217,-56.71235352,-57.4892334,-0.761007547,-65.86966553,7.861051941,-59.20288696,-16.66650085,-0.977985668
Z PAT_R_do 2,10.71455688,5.798225403,32.34813843,28.82646484,12.0195282,7.668599701,11.79024353,38.30365906,10.69229355,-8.042456818,5.740283966,28.90538025,11.89780731,38.4132019,32.30816956,28.74020996,7.492178345,11.65602646,-7.970202637,29.49909058
X PAT_R_do 10,17.51296387,7.451764679,43.25799255,19.43967743,6.506582642,42.67659302,-1.34893055,28.4147522,17.52521667,14.47449646,7.763494873,29.5745636,6.506689453,28.84657288,43.28595886,19.67032928,43.65661621,-2.104579735,14.80797119,30.32498779
Y PAT_R_do 10,-100.392688,-30.37782288,-3.522310257,-24.67080536,-104.0841309,12.51010818,-21.43866272,-102.8388672,-100.4513184,-43.45617981,-30.22621155,-27.20471497,-104.2299194,-103.2753174,-3.366828918,-24.29637146,11.71473541,-19.84753571,-43.45290222,-27.05434875
Z PAT_R_do 10,15.99685822,8.047740936,33.07583923,25.8953064,11.69182053,40.27433777,7.536779785,41.19045715,15.55774536,14.51557617,7.86739502,64.7088623,11.92870789,40.50054321,32.78945618,25.94469604,40.58193359,7.648175812,14.46492157,64.55003662
X PAT_R_do 1,21.97711792,7.434349823,-4.274170303,31.37998047,2.786031532,3.978038406,-10.97203827,24.35263214,21.99472046,-21.952771,7.696554565,10.70128555,2.761400414,24.14003448,-4.235647964,31.49373169,4.092687225,-10.95347443,-22.07880554,8.647911072
Y PAT_R_do 1,-45.33088074,-75.13361206,-0.052906495,-74.52439575,-46.28485413,5.670227432,-68.67836914,-45.40236816,-45.1098114,-10.73739624,-75.29785156,3.394200897,-46.14955139,-45.15565491,-0.218083501,-74.76954346,5.71328392,-68.60922852,-10.72533798,2.643005371
Z PAT_R_do 1,11.3271759,4.550923157,30.46601257,28.9894165,11.29447021,-0.947977448,13.9784317,35.26477966,11.39622269,-11.43905334,4.393172073,21.72872162,11.1888382,35.30515137,30.61809082,28.99936523,-1.002470016,13.93370972,-11.39314041,21.8664978
