Name,O_ana_QVM_M1987x1x101,O_ana_QVM_M1986x1x47,O_ana_QVM_M1968x1x36,O_ana_MV_C29881,O_ana_MV_C29879,O_ana_MV_C29873,O_ana_MV_C29872,O_ana_MV_C29771,O_ana_QVM_M1987x1x108,O_ana_MV_C29680,O_ana_MV_C29678,O_ana_MV_C28827,O_ana_MV_C28818,O_ana_MV_C24057,O_ana_MV_C17256,O_ana_MV_C17040,O_ana_MV_C17031,O_ana_MV_C17028,O_ana_MV_C16999,O_ana_MV_C16998,O_ana_MV_C16997,O_ana_MV_C16989,O_ana_MV_C7238,O_ana_MV_C2935,O_ana_MV_C2502,O_ana_MV_C2414,O_ana_MV_C2413,O_ana_QVM_M1986x1x38,O_ana_MV_C1435,O_ana_MV_C24058,O_ana_QVM_M1988x1x34,O_ana_ANWC_M3707,O_ana_ANWC_M18044,O_ana_ANWC_M3704,O_ana_ANWC_M3700,O_ana_ANWC_M3699,O_ana_ANWC_M3696,O_ana_ANWC_M3730,O_ana_ANWC_M1274,O_ana_QM_JM6919,O_ana_ANWC_M3560,O_ana_QM_JM18104,O_ana_QM_JM20596,O_ana_QM_JM19983,O_ana_QVM_M1964x1x246,O_ana_MV_C17000,O_ana_MV_C7239,O_ana_ANWC_M15484,O_ana_QVM_M1987x1x98,O_ana_ANWC_M18089,O_ana_SAM_M1629,O_ana_SAM_M6298,O_ana_SAM_M14097,O_ana_QVM_M1965x1x164,O_ana_MV_C11286,O_ana_QVM_M1993x1x223,O_ana_MV_C29877,O_ana_AM_M11237,O_ana_SAM_M9678,O_ana_MV_C17253,O_ana_QVM_M1963x1x245,O_ana_ANWC_M3703,O_ana_AM_M8625,O_ana_QM_JM8106,O_ana_MV_C2459,O_ana_AM_M8258,O_ana_QM_J20672_ERR,O_ana_QVM_M1988x1x141_ERR,O_ana_QVM_M1987x1x105_ERR,O_ana_QM_JM1086_ERR,O_ana_MV_C29796_ERR,O_ana_ANWC_M3708_ERR,O_ana_MV_C2459_ERR,O_ana_ANWC_M1279_ERR,O_ana_AM_M8258_ERR,O_ana_SAM_M6043_ERR,O_ana_QVM_M1987x1x105,O_ana_ANWC_M3708,O_ana_QM_J20672,O_ana_QVM_M1988x1x141,O_ana_QM_JM1086,O_ana_MV_C29796,O_ana_ANWC_M1279,O_ana_SAM_M6043
Y PAT_R_do 6,-37.34370422,-85.89354248,-42.00422058,-29.78916626,-85.45291748,-44.6223877,-41.8984436,-44.03007813,-35.65513916,-96.93757324,-85.12471313,-95.78265991,-76.428125,-36.45492554,-91.18626709,-94.33842773,-89.74553833,-43.38366089,-92.34225464,-35.38792419,-92.48490601,-28.87491455,-49.46795959,-45.8625061,-41.25210571,-87.2880249,-90.37393188,-38.6684845,-50.12237549,-43.83525085,-88.23126221,-88.71314087,-46.91146545,-87.94555664,-24.84780426,-48.60726013,-87.79915771,-92.57231445,-17.09442596,-11.00615921,-90.48186035,-6.156641769,5.795213699,-43.9690918,-92.30808105,-43.33025513,-35.08110962,-13.95384521,-91.13568115,-34.46967468,-19.69983978,-18.56577301,-21.71740875,-89.86687012,-96.71153564,-46.07387085,-91.80916748,-45.14471741,-16.18826904,-91.57391968,-85.31224365,-90.24246216,-86.78773193,-32.51976013,-88.67930298,-41.96983948,-3.791378784,-38.15588074,-90.26160889,14.1126358,-34.0710083,-89.39191284,-88.75059204,-37.17078857,-42.16741333,-18.16304016,-89.48653564,-89.55233154,-3.665021133,-37.81183167,14.1810257,-33.2236145,-37.13016968,-17.76996765
Z PAT_R_do 6,16.96605988,10.84157715,15.30971375,-2.96394062,7.295088196,-11.0345047,-7.184864044,21.08292236,4.117378998,-3.228663254,13.43206177,15.20140686,10.57065353,29.35584717,7.166642761,1.732812119,10.57102661,3.754066086,11.40376205,11.92955704,-21.50323486,-9.930033875,-2.899712563,13.33935852,1.545266819,15.66850281,0.99315033,28.37572021,25.75234985,-1.954289436,13.28686066,45.37224426,59.98634644,46.99542847,60.39622803,46.33034363,48.21842346,44.75052185,54.57727661,33.24835205,43.32832642,39.86899719,27.28054504,22.5590332,2.491093445,23.25070343,-4.263132858,11.28972702,18.87680664,4.293893814,50.94541626,58.08813477,53.63900146,14.6483139,9.124810791,7.956827545,14.24419403,8.820373535,51.97206421,11.85907288,0.467726088,44.2947876,21.28623505,12.75248718,8.811618805,8.840593719,38.1022644,29.08074646,17.09808044,34.56902466,3.658444214,45.39629517,8.751363373,1.643105316,8.801390839,57.0642395,17.02557678,45.36566467,38.01946411,29.01301575,34.7328949,3.548732758,1.605414391,56.85281372
X PAT_R_do 5,39.57332458,13.47622986,19.8166153,20.65861359,9.109586334,2.019283676,0.332235551,16.83144989,17.21106873,7.603521729,13.20539093,14.27394714,18.58731384,14.14034576,24.17086945,18.71396637,28.88262634,8.90475235,24.24930267,10.61882172,9.65838089,30.83842773,32.68321838,6.845537567,9.500225067,15.28033295,18.30438538,24.0950119,14.51802063,3.274363708,7.620228577,30.01578674,3.76734314,25.72812805,24.97388,7.679901123,24.23669891,24.12345886,12.83057556,11.71530075,26.12928772,37.71222839,21.32994537,1.853950119,20.12216034,17.65285034,6.225602341,13.15679321,15.83588715,4.674040985,19.67342682,24.43425446,19.34677429,8.318999481,7.307917786,18.62979126,26.38163452,12.38666611,12.78215027,14.72860107,21.49128723,22.45466461,14.42350769,13.25904236,16.17385559,7.409860992,29.00935059,21.88547516,7.890770721,32.63319397,-1.52210083,29.61477051,16.11676636,1.917463875,7.444281006,25.66154175,7.520582581,29.70795898,28.91197815,21.91734924,32.78816833,-1.273746109,1.775973511,25.84822083
Y PAT_R_do 5,-39.77854309,-83.84713745,-44.01839905,-32.051828,-83.18078003,-46.80613403,-43.28477783,-45.43572388,-38.07941284,-94.75761719,-82.94242554,-93.19099121,-74.05705566,-38.2823822,-88.7519043,-91.83961792,-88.1041748,-44.76669006,-90.2013855,-37.15221558,-90.16378174,-31.08897095,-51.98148804,-47.61343994,-42.96072083,-83.47936401,-87.19627075,-40.03458557,-51.8284729,-44.51698303,-85.99158936,-86.21219482,-46.31607361,-86.08283081,-25.4827713,-48.51773987,-86.10744629,-90.27825928,-10.7112709,-6.896104431,-88.69053955,-1.871587944,9.987817383,-41.20843201,-89.96269531,-45.50207825,-37.20574951,-12.37222519,-88.4652832,-34.18885803,-16.87470398,-16.43528595,-18.88731232,-87.00957031,-93.32052612,-48.76317139,-89.66577759,-47.19004211,-12.36039047,-89.2161499,-82.55962524,-88.06712036,-84.39663086,-32.9018158,-85.68348999,-44.00445862,0.877373409,-39.21768188,-88.0185791,13.86752472,-35.0144928,-86.8977417,-85.76130981,-36.96702271,-44.0161377,-15.04527588,-87.12265015,-86.99570923,0.90186224,-39.10839539,13.75896912,-34.32581177,-36.77129517,-14.8533432
Z PAT_R_do 5,12.89190521,3.506587982,16.25063934,-7.932205963,0.330944753,-4.118442535,-0.769495106,23.59796143,-2.50684948,0.292677283,16.42672424,20.48065643,17.02441406,34.52513428,13.58079224,6.88588028,16.61759796,11.51173782,17.24180145,14.80513458,-25.33270569,-14.52019653,-4.477365112,20.14923553,8.870061493,17.77164459,5.682767868,21.0205307,28.56470337,5.330666351,6.02454567,41.36561584,63.65271606,43.02548523,53.67390137,50.4024292,44.78919373,42.31338501,52.03132324,30.27299805,40.95025635,34.20428162,22.2082962,25.91087341,5.956357193,26.51986389,2.268522644,4.944713593,16.43871765,8.281257629,48.46576233,53.1720459,50.75220642,7.586741638,13.4478363,1.456762981,20.03519592,11.88896866,50.22272949,19.543396,3.310752869,41.33119202,20.03287201,17.64725037,15.43820343,10.47576752,32.86176758,24.59060364,10.52913132,27.8799408,10.70280991,41.6539093,15.31699524,6.246244812,10.47529297,53.76848145,10.57229691,41.58068237,32.69234314,24.53649597,27.7001709,10.50901337,6.253705978,53.03948364
X PAT_R_do 4,35.09255676,8.872117615,13.12444611,26.60758972,5.540589905,-0.032327226,1.562228966,10.47789459,20.55884857,13.67636871,20.04227448,18.18196411,18.18712769,7.645574951,22.95163269,23.32455292,26.79863586,4.991745758,21.84511871,3.878116989,2.701773834,26.55510864,26.2792511,4.200308228,9.381160736,23.54902496,23.99206848,25.98193054,7.76880722,0.273084998,7.251716614,23.57892914,5.994952393,18.9491272,15.99974213,7.89234314,17.63861542,17.38777008,7.489130402,3.912250137,19.06499481,31.20480652,15.91559448,6.043631363,15.35517578,10.44097595,7.66075592,4.77422142,8.934664154,5.387262344,12.17636948,15.30944519,11.54250717,7.841172028,12.88684845,24.28931274,23.65559692,17.39013977,5.209264755,17.40534058,15.76592102,15.38600006,20.6356781,14.41221008,18.1448349,13.47336884,23.08730774,18.69176483,8.492232513,23.44423828,-3.284104156,23.19298706,18.14221191,2.004681587,13.50609589,17.02255096,8.36157074,23.32276917,23.04150543,18.6621109,23.56522369,-3.199357224,2.0614048,17.24582367
Y PAT_R_do 4,-44.74095459,-77.57017212,-49.50908203,-37.9457428,-77.59055176,-51.73710938,-49.45852966,-51.08499451,-43.9647644,-89.56578369,-76.87037964,-89.00005493,-68.50370483,-43.44000854,-82.22020874,-84.95722656,-81.16480713,-50.50157166,-83.97579346,-43.92172241,-83.30204468,-38.52569885,-56.98765869,-52.64525146,-49.05028076,-78.35888672,-80.67718506,-46.02501526,-57.59859009,-50.74006653,-78.3932373,-79.13175049,-41.12851563,-79.84797974,-22.79941559,-43.29161682,-79.45236206,-85.08925781,-17.17602539,-7.836833191,-82.88717651,-6.402933502,4.98904686,-38.36366882,-84.43999634,-50.91838379,-43.09210205,-12.15724792,-82.51501465,-29.77768555,-15.58280945,-16.57588959,-16.44875183,-81.56246948,-88.77020264,-54.05303955,-84.95252075,-51.83015747,-11.45556488,-83.0769043,-75.76173706,-82.00126343,-78.35966797,-26.4942627,-80.06564941,-49.06791382,-3.396728897,-45.57023315,-80.96263428,12.4884819,-40.85675964,-80.32150879,-80.16401367,-30.64990845,-48.99068604,-13.28104706,-80.44395752,-80.36229248,-3.346398544,-45.45099792,12.54187012,-40.60513306,-30.68743896,-13.13784027
Z PAT_R_do 4,18.03508301,9.189666748,17.45219269,-3.967381668,7.019910431,-10.69801254,-7.331801605,22.81089172,3.255400467,-2.757025337,16.35965118,14.63400269,9.572369385,31.33253479,7.373410797,1.738382912,10.32014313,5.264025879,10.63587494,13.86958008,-24.31603699,-9.665097046,-0.527573061,14.10161438,1.547772884,16.74551239,1.206031418,27.86051025,27.37129211,-0.898617458,12.67455826,43.69567871,56.26060181,44.77843018,54.0263916,42.53196716,45.72513123,42.65678406,53.41151733,27.1177948,41.32877502,39.26089172,26.81195068,19.42687531,0.942834473,24.39973602,-4.23535347,6.455961609,17.90914459,1.735442543,43.59179993,50.25395508,46.01036682,14.97424316,8.77432251,6.521839142,13.13910065,7.315900421,44.37085266,12.33384323,-1.182254982,41.94784851,22.38671417,11.76377335,8.353466034,7.870925903,36.73840332,29.64914246,16.58354797,27.71943359,4.943523026,43.94838562,8.347915649,-1.452012253,7.871891022,49.72603149,16.49659882,43.93234253,36.69009399,29.60149536,27.73195496,4.875535965,-1.439253235,49.66477356
X PAT_R_do 3,37.55005188,7.604100037,15.39567719,26.19578247,3.610632706,-1.525231457,-1.966643143,11.97701874,21.02689362,12.6499733,18.80201416,18.52709656,21.6293808,8.103469086,25.19104614,22.34591064,30.19491882,1.666760254,24.79411621,5.588612366,4.109953308,28.91749573,28.21668701,3.055684662,7.683376312,23.25252075,24.31868591,28.53707275,9.625231171,-1.452194786,4.300709152,24.82978973,0.976327515,19.81258392,11.64729996,0.973686504,19.16794281,18.70431671,0.344911718,2.163521004,20.67058868,22.19811707,8.374790955,3.144322395,18.74242554,11.34901657,6.383520508,0.580234289,10.56399307,0.076579863,13.02548828,12.29749603,12.18241653,5.99420166,12.19920273,24.06065979,26.40079651,15.43220825,6.075157928,18.68348846,18.03417511,16.54230652,18.13507385,8.910049438,18.3486145,11.18794785,16.13378296,22.65887909,6.538310242,18.81924286,-4.775788498,24.23605347,18.34772491,-5.006836319,11.24478378,16.08403931,6.585982513,24.25372162,16.35700684,22.64240112,18.84465027,-4.80396347,-4.972713089,16.22220612
Y PAT_R_do 3,-52.04103394,-69.22151489,-56.64541626,-46.33359985,-69.52983398,-58.40831299,-56.98080444,-57.73670044,-51.97304688,-81.77888184,-68.8460022,-81.74664917,-60.66628418,-50.01537781,-73.32365723,-75.25926514,-72.47363281,-57.66345825,-75.86337891,-51.97819824,-74.15271606,-47.97254333,-64.51607056,-59.65982666,-56.70317383,-68.83126221,-70.44674072,-53.26539917,-65.68082275,-58.10407104,-69.86769409,-70.54018555,-35.27527771,-70.64412231,-20.90589447,-38.43400879,-70.98605957,-78.04741821,-15.62312622,-3.935244751,-75.33416138,-5.752754974,5.319635773,-31.09947815,-75.99334717,-58.06356201,-51.13765869,-10.41064301,-74.32470703,-25.00888367,-11.28648911,-14.32994843,-11.68423691,-73.48344116,-81.10695801,-62.31342163,-78.32409058,-58.68081665,-6.566365051,-74.65479126,-68.08693237,-73.73283691,-69.6404541,-20.91267548,-71.1569519,-55.83722534,-2.197109604,-52.63562622,-72.33894653,10.75370331,-46.9911499,-71.64663696,-71.28106689,-25.02493744,-55.72875977,-8.572384644,-72.44328003,-71.59677124,-2.196352386,-52.51895752,10.76765442,-47.0708374,-25.06081238,-8.611995697
Z PAT_R_do 3,17.87491302,5.882269669,19.43243103,-6.012981415,4.899914551,-8.747679901,-6.075522995,25.32779694,0.490827131,-1.450023174,19.66496887,15.47108765,10.53098373,34.54829712,9.56375351,3.298175812,11.6196846,8.293917084,11.73013077,16.80346527,-27.18986206,-10.69718246,1.220492268,16.32124634,3.121600533,18.37118073,3.230452728,25.27434082,29.17053223,2.089211464,9.906407166,40.32312927,53.64850464,41.98206787,46.29777832,40.37789001,42.73007507,39.82202454,51.66270142,20.74214325,38.85262146,37.58948364,25.32763062,17.36824951,0.048757398,26.96013489,-2.717170334,0.326254702,16.22166595,0.531231928,35.89964294,41.55489197,38.58882141,13.09098053,9.538243103,4.332384872,13.04599915,6.789442444,36.60999451,14.51213531,-1.180985832,39.33781738,23.4254837,12.03971481,9.358691406,7.139002228,34.26929016,28.89848328,13.88720245,19.7227829,7.940788269,41.76248474,9.313955688,-3.457178497,7.133743286,41.85411682,13.8203125,41.74512329,34.29886169,28.83307495,19.65392303,7.955237579,-3.436057281,41.99177246
